station;Year;Month;Day;Time;maxtmp;mintmp
Helsinki Kaisaniemi;2024;9;1;03:00;18;12.9
Helsinki Kaisaniemi;2024;9;2;03:00;19.4;12.6
Helsinki Kaisaniemi;2024;9;3;03:00;22.3;15.4
Helsinki Kaisaniemi;2024;9;4;03:00;24.5;15.6
Helsinki Kaisaniemi;2024;9;5;03:00;25.3;14.3
Helsinki Kaisaniemi;2024;9;6;03:00;22.1;14.1
Helsinki Kaisaniemi;2024;9;7;03:00;22.1;14.1
Helsinki Kaisaniemi;2024;9;8;03:00;22.4;14.6
Helsinki Kaisaniemi;2024;9;9;03:00;23.1;17.2
Helsinki Kaisaniemi;2024;9;10;03:00;23.6;18.2
Helsinki Kaisaniemi;2024;9;11;03:00;19.1;14.5
Helsinki Kaisaniemi;2024;9;12;03:00;19.7;15.7
Helsinki Kaisaniemi;2024;9;13;03:00;18;14.9
Helsinki Kaisaniemi;2024;9;14;03:00;20.6;17.1
Helsinki Kaisaniemi;2024;9;15;03:00;17.6;12.2
Helsinki Kaisaniemi;2024;9;16;03:00;16.1;10.3
Helsinki Kaisaniemi;2024;9;17;03:00;19.1;13.6
Helsinki Kaisaniemi;2024;9;18;03:00;16.4;10.2
Helsinki Kaisaniemi;2024;9;19;03:00;18.5;10.3
Helsinki Kaisaniemi;2024;9;20;03:00;21.9;11.3
Helsinki Kaisaniemi;2024;9;21;03:00;17;9.6
Helsinki Kaisaniemi;2024;9;22;03:00;13;3.1
Helsinki Kaisaniemi;2024;9;23;03:00;15.8;6.4
Helsinki Kaisaniemi;2024;9;24;03:00;19.4;14
Helsinki Kaisaniemi;2024;9;25;03:00;18.8;14.7
Helsinki Kaisaniemi;2024;9;26;03:00;17.6;14.7
Helsinki Kaisaniemi;2024;9;27;03:00;18.4;12.9
Helsinki Kaisaniemi;2024;9;28;03:00;15.8;10.5
Helsinki Kaisaniemi;2024;9;29;03:00;12.9;6.4
Helsinki Kaisaniemi;2024;9;30;03:00;13.3;3.3
Helsinki Kaisaniemi;2024;10;1;03:00;12.7;3.8
Helsinki Kaisaniemi;2024;10;2;03:00;8.2;6
Helsinki Kaisaniemi;2024;10;3;03:00;12.4;4.2
Helsinki Kaisaniemi;2024;10;4;03:00;12.3;2.4
Helsinki Kaisaniemi;2024;10;5;03:00;14.4;4.9
Helsinki Kaisaniemi;2024;10;6;03:00;14.4;7
Helsinki Kaisaniemi;2024;10;7;03:00;13.8;7.9
Helsinki Kaisaniemi;2024;10;8;03:00;10.2;4.5
Helsinki Kaisaniemi;2024;10;9;03:00;10.3;7.3
Helsinki Kaisaniemi;2024;10;10;03:00;13.5;8.5
Helsinki Kaisaniemi;2024;10;11;03:00;15.2;11
Helsinki Kaisaniemi;2024;10;12;03:00;11.8;4.1
Helsinki Kaisaniemi;2024;10;13;03:00;12.2;3.4
Helsinki Kaisaniemi;2024;10;14;03:00;9.4;5
Helsinki Kaisaniemi;2024;10;15;03:00;8.2;2
Helsinki Kaisaniemi;2024;10;16;03:00;12;0.9
Helsinki Kaisaniemi;2024;10;17;03:00;12.6;7.3
Helsinki Kaisaniemi;2024;10;18;03:00;12.2;9.8
Helsinki Kaisaniemi;2024;10;19;03:00;12.4;8.3
Helsinki Kaisaniemi;2024;10;20;03:00;11.9;9.2
Helsinki Kaisaniemi;2024;10;21;03:00;13.5;10.1
Helsinki Kaisaniemi;2024;10;22;03:00;13.5;10.3
Helsinki Kaisaniemi;2024;10;23;03:00;12.1;8.8
Helsinki Kaisaniemi;2024;10;24;03:00;12.7;8.9
Helsinki Kaisaniemi;2024;10;25;03:00;12.5;7.4
Helsinki Kaisaniemi;2024;10;26;03:00;11.1;9.9
Helsinki Kaisaniemi;2024;10;27;03:00;11.1;9.5